Kutle_kg,Hiz_m_s,Kinetik_Enerji_Joule
375.17,7.87,11618.43
950.76,9.47,42632.51
732.26,17.09,106934.89
599.06,6.8,13850.27
156.86,17.39,23718.18
156.84,1.76,242.91
59.03,15.54,7127.62
866.31,16.95,124446.51
601.51,3.64,3984.88
708.36,8.61,26256.11
21.56,3.31,118.11
969.94,14.13,96827.61
832.61,10.71,47751.89
213.13,12.71,17214.95
182.64,3.93,1410.43
184.22,4.23,1648.12
304.94,0.83,105.04
525.23,6.44,10891.59
432.51,11.19,27078.61
291.94,17.16,42983.14
612.24,13.34,54475.77
140.35,8.71,5323.76
292.85,19.06,53193.8
367.0,14.38,37944.94
456.61,18.6,78984.4
785.39,10.55,43707.94
200.47,5.18,2689.55
514.72,1.06,289.17
592.82,14.52,62492.24
47.4,2.43,139.95
607.94,6.06,11162.87
171.35,10.65,9717.47
65.99,11.29,4205.68
948.94,12.01,68437.6
965.67,3.33,5354.11
808.59,7.59,23290.67
305.31,12.34,23245.63
98.57,19.4,18548.9
684.55,14.55,72460.47
440.71,18.45,75009.39
122.92,15.24,14274.55
495.68,11.83,34684.94
35.35,3.84,260.63
909.41,13.33,80796.03
259.52,12.47,20177.8
662.86,12.05,48124.46
312.4,9.8,15001.45
520.55,10.57,29079.2
547.16,6.69,12244.37
185.67,10.39,10021.73
969.62,3.95,7564.25
775.36,16.1,100490.53
939.56,3.72,6501.0
894.93,1.7,1293.17
598.3,8.72,22746.89
921.95,13.17,79955.61
89.4,8.75,3422.34
196.79,5.54,3019.9
46.18,11.16,2875.76
326.01,6.94,7850.91
389.29,18.66,67774.53
272.08,18.45,46308.36
828.91,10.05,41860.99
357.4,6.56,7690.1
281.65,14.74,30596.71
543.15,0.73,144.72
141.78,9.5,6397.82
802.39,6.73,18171.29
75.48,18.41,12791.15
986.9,0.24,28.42
772.47,11.06,47245.66
199.52,14.81,21880.97
6.52,9.7,306.73
815.65,1.71,1192.52
707.15,19.45,133758.31
729.28,10.36,39136.67
771.5,12.28,58170.48
74.97,4.73,838.65
359.11,9.67,16789.99
116.75,8.58,4297.36
863.24,1.5,971.14
623.67,2.12,1401.51
331.57,16.75,46513.05
64.49,4.8,742.92
311.67,3.9,2370.25
325.86,10.1,16620.49
729.88,15.37,86212.29
637.92,1.24,490.43
887.33,11.54,59083.58
472.74,2.38,1338.89
120.47,0.73,32.1
713.53,1.05,393.33
761.02,16.68,105866.41
561.72,2.36,1564.28
771.2,0.9,312.34
494.3,8.76,18965.7
523.21,16.88,74540.26
428.11,5.25,5899.89
26.39,8.43,937.7
108.78,0.8,34.81
32.4,8.98,1306.37
636.77,11.55,42473.35
315.04,11.42,20543.19
509.06,6.65,11255.95
907.66,6.31,18069.74
250.04,2.13,567.2
410.97,7.34,11070.63
755.8,1.99,1496.52
229.57,15.33,26975.5
77.9,19.33,14553.62
290.46,19.4,54658.76
162.06,17.3,24251.47
929.77,12.02,67166.77
808.31,14.02,79440.87
633.77,5.7,10295.59
871.59,12.62,69406.63
803.87,9.11,33357.43
